Year,Gender,Types,Types2,Total,LessThan9thGrade,HighSchool,Associate,Bachelor,Master,Doctor
2003,Men,Percent working,Error,0.169708559,0.891984478,0.312459186,0.556790362,0.339318242,0.603324338,1.216016175
2004,Men,Percent working,Error,0.166810617,0.837690168,0.303923323,0.530179298,0.346871271,0.576127034,1.162851226
2005,Men,Percent working,Error,0.164398603,0.841462295,0.301014818,0.535302379,0.342636653,0.578162821,1.122011686
2006,Men,Percent working,Error,0.16063679,0.854591146,0.299445609,0.502325478,0.318913622,0.552605053,1.089684903
2007,Men,Percent working,Error,0.161852265,0.906971765,0.301657821,0.516071097,0.316642449,0.537412132,1.11013299
2008,Men,Percent working,Error,0.171928586,0.949404622,0.324463521,0.558778868,0.333347621,0.565622859,1.122030667
2009,Men,Percent working,Error,0.181073965,1.03363196,0.340769771,0.57874435,0.354717407,0.564679348,1.110934393
2010,Men,Percent working,Error,0.179300349,1.036417833,0.340613428,0.564923978,0.33820582,0.575084466,1.07817651
2011,Men,Percent working,Error,0.17465205,0.983187183,0.334229251,0.556941924,0.334495057,0.546528664,1.088259695
2012,Men,Percent working,Error,0.173268843,0.997595993,0.334094876,0.540823791,0.328647405,0.550001293,1.018230494
2013,Men,Percent working,Error,0.213135458,1.209898443,0.406751806,0.66683082,0.413980832,0.667994365,1.297859974
2014,Men,Percent working,Error,0.181265821,1.034575102,0.345237953,0.580130796,0.346733458,0.568319671,1.154108876
2015,Men,Percent working,Error,0.179211558,1.031250731,0.348840803,0.560288271,0.342128985,0.544538294,1.139443142
2016,Men,Percent working,Error,0.176093651,1.075666035,0.33907714,0.548331509,0.3376054,0.53946709,1.031857492
2017,Men,Percent working,Error,0.173698755,1.071468018,0.335163671,0.544471422,0.333356218,0.535884751,1.034197892
2018,Men,Percent working,Error,0.245081179,1.502208968,0.468630631,0.750987074,0.459720278,0.779464651,1.55163032
2019,Men,Percent working,Error,0.264229268,1.716185491,0.520769445,0.801940873,0.489861308,0.792519981,1.557877862
2000,Women,Percent working,Error,0.30448449,1.841429205,0.544640055,0.923181981,0.666737015,1.113880467,3.127440212
2001,Women,Percent working,Error,0.215803408,1.321222915,0.389730504,0.652852661,0.465280175,0.760210643,2.121494589
2002,Women,Percent working,Error,0.215009287,1.358969323,0.389732073,0.645764874,0.465950943,0.737869574,2.069473863
2003,Women,Percent working,Error,0.214567554,1.382483309,0.392030027,0.637189381,0.463097266,0.727452898,1.947679395
2004,Women,Percent working,Error,0.213595486,1.351538063,0.395613012,0.628989805,0.454408436,0.719610034,1.973821286
2005,Women,Percent working,Error,0.21119582,1.364073784,0.395343524,0.61317045,0.443501806,0.704938842,2.021693234
2006,Women,Percent working,Error,0.207948541,1.35433704,0.391443398,0.612570174,0.429951982,0.690441914,1.85916084
2007,Women,Percent working,Error,0.205771921,1.429085326,0.394948424,0.60430949,0.423734517,0.634499093,1.907484429
2008,Women,Percent working,Error,0.208461493,1.381567274,0.40341195,0.600192435,0.425567355,0.654083827,1.795465982
2009,Women,Percent working,Error,0.209985134,1.419954344,0.410673801,0.601464176,0.420931546,0.647367385,1.735690186
2010,Women,Percent working,Error,0.210486759,1.45787304,0.417966868,0.596732802,0.424597725,0.62411324,1.514776323
2011,Women,Percent working,Error,0.208851714,1.419716981,0.419953701,0.590061608,0.41069187,0.615389921,1.576469321
2012,Women,Percent working,Error,0.207694531,1.477873507,0.422837791,0.582843806,0.401578373,0.604270256,1.519595066
2013,Women,Percent working,Error,0.260748203,1.838425103,0.46120614,0.789449053,0.498188711,0.824436417,1.97131836
2014,Women,Percent working,Error,0.22536146,1.569302106,0.470371446,0.634167486,0.435129162,0.639583687,1.620262386
2015,Women,Percent working,Error,0.222661779,1.560218623,0.472358952,0.629247651,0.428914932,0.625821624,1.435092928
2016,Women,Percent working,Error,0.220272203,1.664266316,0.469800816,0.615083526,0.421557615,0.599075056,1.483679751
2017,Women,Percent working,Error,0.217996603,1.642265989,0.471532142,0.611033203,0.406686334,0.581132556,1.405084663
2018,Women,Percent working,Error,0.308410272,2.413674336,0.668368095,0.877878819,0.574468463,0.794567599,1.924327733
2019,Women,Percent working,Error,0.325666703,2.623956734,0.718370718,0.929959703,0.595408553,0.83398872,1.908311389
